code	value
1	Certain infectious and parasitic diseases
2	Neoplasms
3	Blood & related organ diseases/disorders to immune mechanism
4	Endocrine, nutritional and metabolic diseases
5	Diseases of the nervous system
6	Diseases of the ear and mastoid process
7	Diseases of the circulatory system
8	Diseases of the respiratory system
9	Diseases of the digestive system
10	Diseases of the genitourinary system
11	Certain conditions originating in the perinatal period
12	Congenital mal-, de-, formations & chromosomal abnormalities
13	Symptoms, signs and abnormal clinical/lab findings, NEC
14	All other diseases
15	External causes of mortality
