1	Certain intestinal infectious diseases
2	Diarrhea and gastroenteritis of infectious origin
3	Tuberculosis
4	Tetanus
5	Diptheria
6	Whooping cough
7	Meningococcal infection
8	Septicemia
9	Congenital syphilis
10	Gonococcal infection
11	Viral diseases
12	Candidiasis
13	Malaria
14	Pneumocystosis
15	All other and unspecified infectious and parasitic diseases
16	Malignant neoplasms
17	In situ, benign & unknown behavior neoplasms
18	Anemias
19	Other diseases of blood and blood-forming organs
20	Certain disorders involving the immune mechanism
21	Short stature, not elsewhere classified
22	Malnutrition and other nutritional deficiencies
23	Cystic fibrosis
24	Volume depletion & fluid, electrolyte, Ph balance disorders
25	All other endocrine, nutritional and metabolic diseases
26	Meningitis
27	Infantile spinal muscular atrophy, type I (Werdnig-Hoffman)
28	Infantile cerebral palsy
29	Anoxic brain damage, not elsewhere classified
30	Other diseases of nervous system
31	Pulmonary heart disease & diseases of pulmonary circulation
32	Pericarditis, endocarditis and myocarditis
33	Cardiomyopathy
34	Cardiac arrest
35	Cerebrovascular diseases
36	All other diseases of circulatory system
37	Acute upper respiratory infections
38	Influenza and pneumonia
39	Acute bronchitis and acute bronchiolitis
40	Bronchitis, chronic and unspecified
41	Asthma
42	Pneumonitis due to solids and liquids
43	Other and unspecified diseases of respiratory system
44	Gastritis, duodenitis, & noninfective enteritis & colitis
45	Hernia of abdominal cavity/intestinal obstruction w/o hernia
46	All other and unspecified diseases of digestive system
47	Renal failure and other disorders of kidney
48	Other and unspecified diseases of genitourinary system
49	Newborn affected by maternal factors & complications of PLD
50	Disorders related to gestation & fetal malnutrition
51	Birth trauma
52	Intrauterine hypoxia and birth asphyxia
53	Respiratory distress of newborn
54	Other respiratory conditions from perinatal period
55	Infections specific to the perinatal period
56	Hemorrhagic and hematological disorders of newborn
57	Infant of a diabetic mother & neonatal diabetes mellitus
58	Necrotizing enterocolitis of newborn
59	Hydrops fetalis not due to hemolytic disease
60	Other perinatal conditions
61	Anencephaly and similar malformations
62	Congenital hydrocephalus
63	Spina bifida
64	Other congenital malformations of nervous system
65	Congenital malformations of heart
66	Other congenital malformations of circulatory system
67	Congenital malformations of respiratory system
68	Congenital malformations of digestive system
69	Congenital malformations of genitourinary system
70	Congenital MS malformations deformations, limbs & integument
71	Down's syndrome
72	Edward's syndrome
73	Patau's syndrome
74	Other congenital malformations and deformations
75	Other chromosomal abnormalities, not elsewhere classified
76	Sudden infant death syndrome (SIDS)
77	Other symptoms, signs & abnormal clinical/lab findings, NEC
78	Accidents (unintentional injuries)
79	Assault (homicide)
80	Complications of medical and surgical care
81	Other external causes
